Price,Close,High,Low,Open,Volume
Ticker,SBER.ME,SBER.ME,SBER.ME,SBER.ME,SBER.ME
Date,,,,,
2020-03-05,200.78114318847656,206.303423446367,199.32063176290694,204.81698687486696,57083760
2020-03-06,190.1168212890625,198.0761569671249,187.24764894770135,197.03911164842987,104446900
2020-03-10,173.8783721923828,183.85132413727464,159.75723895204385,171.10427628072122,244541800
2020-03-11,168.1141357421875,176.58336441465696,165.97090672354878,174.5697611320605,138304030
2020-03-12,152.02259826660156,162.358502640407,149.6287421018438,160.00785944643678,197972880
2020-03-13,171.63145446777344,172.4265230427536,150.63122919501754,151.23617124263856,263038280
2020-03-16,171.63145446777344,171.63145446777344,171.63145446777344,171.63145446777344,0
2020-03-17,159.02267456054688,176.97225191308584,158.84119853305782,168.52031120600162,184148390
2020-03-18,150.6053009033203,157.45845350455596,148.77317378583354,154.6929947826623,155010180
2020-03-19,163.7758026123047,164.32889435811907,149.55960541289448,154.26089184569034,187427700
2020-03-20,169.11660766601562,174.44876131014465,165.97089587183223,171.6487269139714,170582970
2020-03-23,158.46957397460938,165.05483781339282,157.37204099043495,162.4708551046588,157891450
2020-03-24,166.48077392578125,168.52030221337196,163.4214880877689,167.05115349809205,104881990
2020-03-25,162.5399932861328,173.70554196325153,157.56216757710152,169.7129113378852,187978350
2020-03-26,162.53135681152344,165.23631475583576,157.97698391075045,162.20295405301212,111602370
2020-03-27,155.88560485839844,163.30913706050396,155.70411565377856,162.5140684988425,114277750
2020-03-30,158.14981079101562,158.3226494769352,151.14973192392782,152.96457109294954,94334680
2020-03-31,161.7881317138672,163.13629196936478,159.23007424405992,160.7424358718868,114026920
2020-04-01,159.6881103515625,160.28441507466044,157.28561681991243,158.32266220555135,76826820
2020-04-02,161.5634307861328,164.11283776953374,157.28561050052826,162.73011503981905,125636360
2020-04-03,160.43133544921875,162.03012316066045,159.25601377906244,161.26097970504887,92860290
2020-04-06,164.80421447753906,165.94497364719712,161.10541086938647,162.05604351076818,77864920
2020-04-07,170.7931671142578,173.30799848292344,166.8091738683563,166.8091738683563,136421670
2020-04-08,173.09194946289062,173.09194946289062,168.62400252704998,169.40179644807816,89980980
2020-04-09,175.96112060546875,177.54262039397213,172.23639196766317,174.91542473260412,109981630
2020-04-10,174.5611114501953,175.21790377754547,173.44627745218628,174.4401230428743,28758250
2020-04-13,171.33761596679688,174.70803001616372,170.52527274390113,174.56975377904402,41284390
2020-04-14,170.56846618652344,175.30432823114833,169.47093321041362,172.8326966282264,80220070
2020-04-15,160.80294799804688,169.60056592908612,160.79429749147454,169.38451425274332,98164460
2020-04-16,162.9029541015625,165.6424876093489,158.60784598092107,161.79677064058714,109174870
2020-04-17,165.7548370361328,166.53261774140748,162.71282595550312,166.35977904987388,71727940
2020-04-20,163.6116180419922,166.12644950581796,161.8745541432415,164.7178015581057,62240080
2020-04-21,160.78564453125,162.03874149479375,158.7115407280687,160.34489071486635,94307540
2020-04-22,164.37210083007812,165.8758251358418,160.5263839068068,160.62144716498867,75361890
2020-04-23,165.01162719726562,166.35978752132505,163.0585116419124,165.9190468574587,62759650
2020-04-24,163.2572784423828,165.62519618073014,162.2115826127628,163.9659210253656,55313850
2020-04-27,163.24864196777344,164.63137797613038,162.84246375982164,164.1819867954022,43711720
2020-04-28,166.61904907226562,167.84622096463593,162.61776795938582,162.902957743681,78584780
2020-04-29,169.211669921875,169.211669921875,166.67090018269764,168.05363614000763,69842140
2020-04-30,170.4647674560547,172.58207118254467,168.91784330260208,169.82524976627818,87198650
2020-05-04,167.38818359375,169.10794634093722,167.01656788725322,169.10794634093722,56398200
2020-05-05,168.3042449951172,169.7820441679747,167.65609000797298,168.96103730152777,35439260
2020-05-06,169.125244140625,170.4474793021916,167.91536006688673,168.52030210375588,49561410
2020-05-07,168.96104431152344,171.2425494334582,168.5721539404517,169.384510334589,57728990
2020-05-08,169.40179443359375,169.60055827456898,168.17462254976195,169.3845066079772,33836340
2020-05-12,165.40914916992188,169.3153669588134,165.23631047556324,167.05114973319678,67656880
2020-05-13,161.8745574951172,164.7178049688554,161.31282840569673,164.2424886387892,63466110
